Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,default
Austria (standard),AT,*,,200.000,,,,
Austria (reduced: food / books / pharma / hotels),AT,*,,100.000,,,,
Belgium (standard),BE,*,,210.000,,,,
Belgium (reduced: restaurants),BE,*,,120.000,,,,
Belgium (reduced: food / books/ pharma / medical / hotels),BE,*,,60.000,,,,
Bulgaria (standard),BG,*,,200.000,,,,
Bulgaria (reduced: hotels),BG,*,,90.000,,,,
Croatia (standard),HR,*,,250.000,,,,
Croatia (reduced: hotels / newspapers),HR,*,,130.000,,,,
Cyprus (standard),CY,*,,190.000,,,,
Cyprus (reduced: hotels),CY,*,,90.000,,,,
Cyprus (reduced: food / books / pharma / medical),CY,*,,50.000,,,,
Czech Republic (standard),CZ,*,,210.000,,,,
Czech Republic (reduced: food / medical / pharma / hotels),CZ,*,,150.000,,,,
Czech Republic (reduced: pharma / books),CZ,*,,100.000,,,,
Denmark (standard),DK,*,,250.000,,,,
Estonia (standard),EE,*,,200.000,,,,
Estonia (reduced: books / pharma / medical / hotels),EE,*,,90.000,,,,
Finland (standard),FI,*,,240.000,,,,
Finland (reduced: restaurants),FI,*,,140.000,,,,
Finland (reduced: books / pharma / hotels),FI,*,,100.000,,,,
France (standard),FR,*,,200.000,,,,
France (reduced: pharma / hotels / restaurants),FR,*,,100.000,,,,
France (reduced: medicals / food / books),FR,*,,55.000,,,,
France (reduced: newspapers / pharma),FR,*,,21.000,,,,
Germany (standard),DE,*,,190.000,,,,
Germany (reduced: food / medical / books / hotels),DE,*,,70.000,,,,
Greece (standard),GR,*,,230.000,,,,
Greece (reduced: food / pharma / medical),GR,*,,130.000,,,,
Greece (reduced: books / hotels),GR,*,,60.000,,,,
Hungary (standard),HU,*,,270.000,,,,
Hungary (reduced: food / hotels),HU,*,,180.000,,,,
Hungary (reduced: books / medical),HU,*,,50.000,,,,
Ireland (standard),IE,*,,230.000,,,,
Ireland (reduced: medical),IE,*,,135.000,,,,
Ireland (reduced: newspapers / hotels / restaurants),IE,*,,90.000,,,,
Ireland (reduced: food),IE,*,,48.000,,,,
Ireland (free: books / medical / children clothing),IE,*,,0,,,,
Italy (standard),IT,*,,220.000,,,,
Italy (reduced: transport / hotels / restaurants),IT,*,,100.000,,,,
Italy (reduced: food / medical / books),IT,*,,40.000,,,,
Latvia (standard),LV,*,,210.000,,,,
Latvia (reduced: books / pharma / medical / hotels),LV,*,,120.000,,,,
Lithuania (standard),LT,*,,210.000,,,,
Lithuania (reduced: books),LT,*,,90.000,,,,
Lithuania (reduced: medical),LT,*,,50.000,,,,
Luxembourg (standard),LU,*,,170.000,,,,
Luxembourg (reduced: wine / advertising),LU,*,,140.000,,,,
Luxembourg (reduced: bikes / domestic),LU,*,,80.000,,,,
Luxembourg (reduced: food / books / pharma / medical / hotels / restaurants),LU,*,,30.000,,,,
Malta (standard),MT,*,,180.000,,,,
Malta (reduced: hotels),MT,*,,70.000,,,,
Malta (reduced: books / medical),MT,*,,50.000,,,,
Malta (reduced: food / pharma),MT,*,,0,,,,
Netherlands (standard),NL,*,,210.000,,,,
Netherlands (reduced: food / books / pharma / medical / hotels),NL,*,,60.000,,,,
Poland (standard),PL,*,,230.000,,,,
Poland (reduced: pharma / medical / hotels / restaurants),PL,*,,80.000,,,,
Poland (reduced: food),PL,*,,50.000,,,,
Portugal (standard),PT,*,,230.000,,,,
Portugal (reduced: food),PT,*,,130.000,,,,
Portugal (reduced: food / books / pharma / medical / hotels),PT,*,,60.000,,,,
Romania (standard),RO,*,,240.000,,,,
Romania (reduced: social hosing),RO,*,,50.000,,,,
Romania (reduced: books / pharma / medical / hotels),RO,*,,90.000,,,,
Slovakia (standard),SK,*,,200.000,,,,
Slovakia (reduced: books / food / medical / pharma),SK,*,,100.000,,,,
Slovenia (standard),SI,*,,220.000,,,,
Slovenia (reduced: food / books / pharma / medical / hotels),SI,*,,95.000,,,,
Spain (standard),ES,*,,210.000,,,,
Spain (reduced: medical / pharma),ES,*,,100.000,,,,
Spain (reduced: food / newspapers),ES,*,,40.000,,,,
Spain (Tenerife) (standard),ES,Santa Cruz de Tenerife,,0,,,,
Spain (Las Palmas) (standard),ES,Las Palmas,*,0,,,,
Spain (Melilla) (standard),ES,Melilla,,0,,,,
Spain (Ceuta) (standard),ES,Ceuta,*,0,,,,
Sweden (standard),SE,*,,250.000,,,,
Sweden (reduced: food),SE,*,,120.000,,,,
Sweden (reduced: books),SE,*,,60.000,,,,
United Kingdom (standard),GB,*,,200.000,,,,
United Kingdom (reduced: property renovations),GB,*,,50.000,,,,
United Kingdom (reduced: food / books / pharma / medical),GB,*,,0,,,,
